Date,Product,Sales,Quantity,Region,Customer Rating
2026-03-13,Phone,52100,3,South,4.2
2026-03-14,Tablet,52200,1,East,3.8
2026-03-15,Watch,52300,4,West,4.7
2026-03-16,Headphones,52400,5,Central,4.1
2026-03-17,Laptop,52500,2,North,4.5
2026-03-18,Phone,52600,3,South,4.2
2026-03-19,Tablet,52700,1,East,3.8
2026-03-20,Watch,52800,4,West,4.7
2026-03-21,Headphones,52900,5,Central,4.1
2026-03-22,Laptop,53000,2,North,4.5
2026-03-23,Phone,53100,3,South,4.2
2026-03-24,Tablet,53200,1,East,3.8
2026-03-25,Watch,53300,4,West,4.7
2026-03-26,Headphones,53400,5,Central,4.1
2026-03-27,Laptop,53500,2,North,4.5
2026-03-28,Phone,53600,3,South,4.2
2026-03-29,Tablet,53700,1,East,3.8
2026-03-30,Watch,53800,4,West,4.7
2026-03-31,Headphones,53900,5,Central,4.1
2026-04-01,Laptop,54000,2,North,4.5
2026-04-02,Phone,54100,3,South,4.2
2026-04-03,Tablet,54200,1,East,3.8
2026-04-04,Watch,54300,4,West,4.7
2026-04-05,Headphones,54400,5,Central,4.1
2026-04-06,Laptop,54500,2,North,4.5
2026-04-07,Phone,54600,3,South,4.2
2026-04-08,Tablet,54700,1,East,3.8
2026-04-09,Watch,54800,4,West,4.7
2026-04-10,Headphones,54900,5,Central,4.1
