Date,Product,Sales
2026-01-01,Laptop,45000
2026-01-02,Phone,45100
2026-01-03,Tablet,45200
2026-01-04,Watch,45300
2026-01-05,Headphones,45400
2026-01-06,Laptop,45500
2026-01-07,Phone,45600
2026-01-08,Tablet,45700
2026-01-09,Watch,45800
2026-01-10,Headphones,45900
2026-01-11,Laptop,46000
2026-01-12,Phone,46100
2026-01-13,Tablet,46200
2026-01-14,Watch,46300
2026-01-15,Headphones,46400
2026-01-16,Laptop,46500
2026-01-17,Phone,46600
2026-01-18,Tablet,46700
2026-01-19,Watch,46800
2026-01-20,Headphones,46900
2026-01-21,Laptop,47000
2026-01-22,Phone,47100
2026-01-23,Tablet,47200
2026-01-24,Watch,47300
2026-01-25,Headphones,47400
2026-01-26,Laptop,47500
2026-01-27,Phone,47600
2026-01-28,Tablet,47700
2026-01-29,Watch,47800
2026-01-30,Headphones,47900
2026-01-31,Laptop,48000
2026-02-01,Phone,48100
2026-02-02,Tablet,48200
2026-02-03,Watch,48300
2026-02-04,Headphones,48400
2026-02-05,Laptop,48500
2026-02-06,Phone,48600
2026-02-07,Tablet,48700
2026-02-08,Watch,48800
2026-02-09,Headphones,48900
2026-02-10,Laptop,49000
2026-02-11,Phone,49100
2026-02-12,Tablet,49200
2026-02-13,Watch,49300
2026-02-14,Headphones,49400
2026-02-15,Laptop,49500
2026-02-16,Phone,49600
2026-02-17,Tablet,49700
2026-02-18,Watch,49800
2026-02-19,Headphones,49900
2026-02-20,Laptop,50000
2026-02-21,Phone,50100
2026-02-22,Tablet,50200
2026-02-23,Watch,50300
2026-02-24,Headphones,50400
2026-02-25,Laptop,50500
2026-02-26,Phone,50600
2026-02-27,Tablet,50700
2026-02-28,Watch,50800
2026-03-01,Headphones,50900
2026-03-02,Laptop,51000
2026-03-03,Phone,51100
2026-03-04,Tablet,51200
2026-03-05,Watch,51300
2026-03-06,Headphones,51400
2026-03-07,Laptop,51500
2026-03-08,Phone,51600
2026-03-09,Tablet,51700
2026-03-10,Watch,51800
2026-03-11,Headphones,51900
2026-03-12,Laptop,52000
2026-03-13,Phone,52100
2026-03-14,Tablet,52200
2026-03-15,Watch,52300
2026-03-16,Headphones,52400
2026-03-17,Laptop,52500
2026-03-18,Phone,52600
2026-03-19,Tablet,52700
2026-03-20,Watch,52800
2026-03-21,Headphones,52900
2026-03-22,Laptop,53000
2026-03-23,Phone,53100
2026-03-24,Tablet,53200
2026-03-25,Watch,53300
2026-03-26,Headphones,53400
2026-03-27,Laptop,53500
2026-03-28,Phone,53600
2026-03-29,Tablet,53700
2026-03-30,Watch,53800
2026-03-31,Headphones,53900
2026-04-01,Laptop,54000
2026-04-02,Phone,54100
2026-04-03,Tablet,54200
2026-04-04,Watch,54300
2026-04-05,Headphones,54400
2026-04-06,Laptop,54500
2026-04-07,Phone,54600
2026-04-08,Tablet,54700
2026-04-09,Watch,54800
2026-04-10,Headphones,54900
