customer_id,city,signup_date,customer_segment,preferred_device
CUST00001,Pune,2025-10-30,Regular,Desktop
CUST00002,Chennai,2025-01-12,Regular,Mobile
CUST00003,Kolkata,2025-11-14,Premium,Desktop
CUST00004,Pune,2025-03-21,Occassional,Desktop
CUST00005,Bangalore,2025-08-04,Occassional,Desktop
CUST00006,Ahmedabad,2025-12-05,Occassional,Mobile
CUST00007,Kolkata,2025-09-21,Regular,Desktop
CUST00008,Kolkata,2025-05-29,Regular,Tablet
CUST00009,Pune,2025-03-22,Regular,Desktop
CUST00010,Delhi,2025-08-03,Regular,Mobile
CUST00011,Bangalore,2025-07-17,Occassional,Desktop
CUST00012,Pune,2025-07-19,Regular,Desktop
CUST00013,Bangalore,2025-01-25,Occassional,Desktop
CUST00014,Bangalore,2025-03-30,Regular,Mobile
CUST00015,Ahmedabad,2025-09-25,Regular,Mobile
CUST00016,Kolkata,2025-05-23,Regular,Desktop
CUST00017,Chennai,2025-02-28,Regular,Mobile
CUST00018,Ahmedabad,2025-12-31,Regular,Desktop
CUST00019,Ahmedabad,2025-01-26,Occassional,Mobile
CUST00020,Bangalore,2025-02-16,Regular,Mobile
CUST00021,Hyderabad,2025-10-15,Regular,Mobile
CUST00022,Kolkata,2025-09-23,Regular,Mobile
CUST00023,Delhi,2025-01-16,Occassional,Tablet
CUST00024,Ahmedabad,2025-07-18,Regular,Desktop
CUST00025,Chennai,2025-10-09,Occassional,Desktop
CUST00026,Hyderabad,2025-03-27,Regular,Mobile
CUST00027,Hyderabad,2025-09-07,Occassional,Desktop
CUST00028,Delhi,2025-09-27,Regular,Desktop
CUST00029,Ahmedabad,2025-12-01,Regular,Mobile
CUST00030,Chennai,2025-04-27,Regular,Mobile
CUST00031,Kolkata,2025-01-07,Occassional,Desktop
CUST00032,Mumbai,2025-05-17,Regular,Desktop
CUST00033,Chennai,2025-06-25,Regular,Tablet
CUST00034,Delhi,2025-11-24,Premium,Mobile
CUST00035,Hyderabad,2025-11-11,Occassional,Desktop
CUST00036,Kolkata,2025-08-03,Regular,Mobile
CUST00037,Chennai,2025-03-23,Occassional,Mobile
CUST00038,Mumbai,2025-08-11,Premium,Mobile
CUST00039,Mumbai,2025-04-13,Regular,Mobile
CUST00040,Bangalore,2025-09-30,Regular,Mobile
CUST00041,Bangalore,2025-01-14,Regular,Mobile
CUST00042,Pune,2025-06-08,Regular,Desktop
CUST00043,Delhi,2025-06-01,Premium,Desktop
CUST00044,Ahmedabad,2025-04-18,Regular,Mobile
CUST00045,Chennai,2025-07-07,Regular,Tablet
CUST00046,Chennai,2025-10-28,Premium,Mobile
CUST00047,Ahmedabad,2025-04-08,Regular,Mobile
CUST00048,Pune,2025-05-11,Regular,Desktop
CUST00049,Hyderabad,2025-10-20,Premium,Mobile
CUST00050,Hyderabad,2025-06-20,Occassional,Mobile
CUST00051,Pune,2025-07-02,Occassional,Mobile
CUST00052,Hyderabad,2025-12-30,Regular,Mobile
CUST00053,Bangalore,2025-02-08,Premium,Desktop
CUST00054,Chennai,2025-01-15,Occassional,Mobile
CUST00055,Pune,2025-01-04,Regular,Mobile
CUST00056,Chennai,2025-12-15,Regular,Mobile
CUST00057,Ahmedabad,2025-07-29,Regular,Desktop
CUST00058,Mumbai,2025-06-10,Regular,Mobile
CUST00059,Bangalore,2025-01-16,Regular,Desktop
CUST00060,Kolkata,2025-04-18,Regular,Mobile
CUST00061,Bangalore,2025-11-07,Regular,Mobile
