CustomerID,Cluster,AnnualIncome,AnnualSpending,PurchaseFrequency,AvgOrderValue
CUST00001,3,156183,25215,9,2632
CUST00002,3,114610,15172,6,2246
CUST00003,0,25000,5622,8,625
CUST00004,3,97756,23170,15,1468
CUST00005,1,93019,25351,5,4225
CUST00006,1,84770,24285,14,1621
CUST00007,1,62851,25301,11,2153
CUST00008,1,56975,22963,8,2497
CUST00009,1,49405,19472,10,1763
CUST00010,3,110648,21074,8,2477
CUST00011,2,174910,42410,20,2033
CUST00012,0,49537,13600,14,922
CUST00013,1,75755,26496,16,1517
CUST00014,0,53433,9901,13,698
CUST00015,1,97973,26773,11,2306
CUST00016,0,73859,15193,12,1162
CUST00017,0,49965,9688,20,451
CUST00018,0,57240,3952,12,293
CUST00019,0,34173,11853,13,875
CUST00020,0,38248,6834,20,327
CUST00021,3,119824,14607,11,1190
CUST00022,3,71182,12000,16,713
CUST00023,3,80831,21533,9,2239
CUST00024,3,124462,17656,3,4414
CUST00025,0,64778,8268,24,327
CUST00026,3,115093,19508,11,1586
CUST00027,2,161134,59765,28,2073
CUST00028,1,74483,21619,5,3603
CUST00029,0,52520,9450,14,646
CUST00030,2,181595,44011,20,2072
CUST00031,0,32947,7480,16,439
CUST00032,3,100495,22904,13,1591
CUST00033,0,40863,4597,14,297
CUST00034,3,99725,8000,11,671
CUST00035,0,60877,17424,16,997
CUST00036,0,32044,7786,8,865
CUST00037,1,66300,28871,10,2708
CUST00038,2,180875,36963,28,1275
CUST00039,3,110306,12000,15,750
CUST00040,3,84102,10878,7,1329
CUST00041,1,70000,19403,4,3627
CUST00042,1,83365,34078,12,2551
CUST00043,3,106711,23017,5,3836
CUST00044,0,62725,6724,19,332
CUST00045,0,33875,6572,11,546
CUST00046,1,75080,30061,5,5010
CUST00047,1,56741,21777,10,1996
CUST00048,1,69081,24089,5,4015
CUST00049,3,110751,24519,12,1822
CUST00050,3,115523,11649,7,1375
CUST00051,3,86181,16071,12,1276
CUST00052,0,45166,8814,15,541
CUST00053,2,228971,32904,31,1032
CUST00054,1,40000,32354,13,2293
CUST00055,2,184313,53502,20,2554
CUST00056,0,49551,7755,12,584
CUST00057,1,63276,34829,7,4548
CUST00058,0,35714,8778,20,409
CUST00059,3,80751,20306,13,1435
CUST00060,0,25000,12240,18,660
CUST00061,0,62438,4580,12,361
CUST00062,1,70967,29903,12,2373
CUST00063,0,47789,8724,16,505
CUST00064,0,55146,12088,14,805
CUST00065,1,111783,37467,7,4730
CUST00066,3,107152,21993,13,1612
CUST00067,0,56396,11636,25,448
CUST00068,1,85377,35457,10,3179
CUST00069,1,100359,28914,6,4107
CUST00070,3,111523,25061,13,1820
CUST00071,1,66194,29964,13,2202
CUST00072,1,101434,37015,8,4220
CUST00073,0,32442,10679,20,506
CUST00074,0,38816,8684,13,599
CUST00075,3,117212,18986,3,4746
CUST00076,2,133807,54639,26,2036
CUST00077,0,76374,13226,15,806
CUST00078,0,37625,4281,22,190
CUST00079,0,47173,11982,8,1331
CUST00080,3,95799,8000,9,798
CUST00081,3,118526,24416,15,1495
CUST00082,1,60385,37816,15,2423
CUST00083,3,133032,29671,9,2885
CUST00084,1,45211,30742,11,2668
CUST00085,0,71998,18771,14,1224
CUST00086,1,56886,24628,12,1835
CUST00087,1,40000,26385,18,1378
CUST00088,3,70000,16166,6,2368
CUST00089,0,41933,7661,21,342
CUST00090,3,119443,21932,7,2683
CUST00091,3,117281,33459,9,3454
CUST00092,0,98737,8431,9,823
CUST00093,0,48049,7297,11,593
CUST00094,3,151240,16441,10,1443
CUST00095,3,106454,30025,11,2482
CUST00096,1,75854,25813,10,2320
CUST00097,2,149017,31104,15,1944
CUST00098,1,53444,36487,14,2426
