Feature,Importance
SatisfactionScore,0.1197584410240337
RecencyDays,0.10466873355760603
TenureDays,0.09223650373121375
EmailOpenRate,0.07324105061299757
LoyaltyPoints,0.06999577114089658
AnnualIncome,0.0690701784970653
AppUsageHours,0.06847498394711189
TotalSpending,0.06707729346765488
AvgOrderValue,0.06599545152870495
NPSScore,0.05099153474376496
Age,0.04927071128255644
WebsiteVisits,0.04431603254298802
SupportTickets,0.04050557328248081
PurchaseFrequency,0.03121376811034742
CategoriesCount,0.030303172820000956
CityTier,0.016048276794761517
Gender_Male,0.006832522915815119
