Feature,Importance
TotalSpending,0.7487486048703968
EmailOpenRate,0.029498987097762955
SatisfactionScore,0.02658645778339408
RecencyDays,0.02543813091679067
AppUsageHours,0.02476216221501009
TenureDays,0.022496017512874545
AnnualIncome,0.0196925015436855
Age,0.018324998040737138
AvgOrderValue,0.016684355325045194
LoyaltyPoints,0.013994969206357993
WebsiteVisits,0.013934459940801405
NPSScore,0.009780912387956465
CategoriesCount,0.009663646447876772
CityTier,0.009478665949402422
SupportTickets,0.007737095114730113
Gender_Male,0.0018803798622613554
PurchaseFrequency,0.0012976557849164196
